acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,target
0.0133,0.773,204014,0.507,0.26,1,0.17,-9.584,1,0.0505,126.043,0.304,1
0.175,0.661,265947,0.748,0,2,0.254,-4.809,0,0.206,171.983,0.509,1
0.128,0.755,141827,0.772,0,6,0.157,-5.585,1,0.4,132.906,0.678,1
0.0169,0.852,216600,0.752,0,1,0.394,-5.793,1,0.0597,89.95,0.389,1
0.145,0.808,210800,0.745,0,10,0.292,-5.26,0,0.342,165.995,0.829,1
0.000599,0.537,206903,0.964,1.14E-05,9,0.0564,-4.157,1,0.113,155.017,0.712,1
0.204,0.582,218142,0.847,0,2,0.105,-5.642,1,0.258,149.97,0.501,1
0.0217,0.668,193993,0.872,0,0,0.106,-3.814,1,0.0458,100.97,0.411,1
0.00705,0.674,170823,0.977,0.794,8,0.11,-2.554,0,0.109,169.92,0.731,1
0.0064,0.775,179658,0.717,0.265,5,0.112,-5.348,0,0.114,122.994,0.282,1
0.171,0.373,187258,0.674,0.000215,11,0.0668,-4.76,0,0.0701,150.062,0.2,1
0.343,0.844,269084,0.578,0,4,0.111,-4.948,0,0.39,158.053,0.472,1
0.000839,0.416,214543,0.988,0,0,0.137,-3.466,1,0.113,174.995,0.47,1
0.609,0.662,205714,0.433,1.02E-06,8,0.349,-13.302,0,0.0635,98.025,0.485,1
0.246,0.624,223500,0.638,0.2,7,0.0939,-8.075,0,0.0482,160.001,0.238,1
0.0252,0.759,230400,0.689,0.00192,2,0.654,-6.897,1,0.0554,100.001,0.307,1
0.395,0.561,243422,0.515,0.0156,2,0.17,-7.07,1,0.102,77.897,0.0593,1
0.597,0.608,150330,0.83,3.50E-06,9,0.118,-5.396,0,0.0948,91.063,0.211,1
0.0167,0.718,159840,0.757,0.0502,9,0.231,-5.738,1,0.129,124.944,0.101,1
0.0852,0.823,179693,0.847,0,9,0.231,-3.183,0,0.133,109.999,0.686,1
0.552,0.831,197695,0.851,0,2,0.106,-3.397,1,0.207,119.958,0.496,1
0.406,0.653,232053,0.828,0,5,0.11,-4.502,0,0.312,75.684,0.709,1
0.0145,0.777,199659,0.702,0.00609,1,0.531,-5.13,1,0.0809,110.043,0.339,1
0.11,0.875,176000,0.824,0.739,1,0.0828,-6.292,1,0.101,123.008,0.725,1
0.0134,0.676,176680,0.905,0.0305,7,0.483,-4.561,1,0.0376,124.973,0.218,1
0.00179,0.522,221217,0.751,0,1,0.128,-6.02,1,0.0342,115.031,0.0633,1
0.136,0.483,172800,0.57,0.0148,9,0.138,-8.85,0,0.0465,75.029,0.135,1
0.349,0.703,131973,0.629,0,7,0.133,-5.897,1,0.0662,120.076,0.16,1
0.112,0.659,138508,0.855,0.000249,2,0.119,-6.11,1,0.216,89.99,0.606,1
0.000537,0.475,66273,0.916,0.951,4,0.152,-8.318,0,0.0485,173.969,0.285,1
0.0777,0.656,146880,0.494,0.17,9,0.138,-10.344,0,0.0485,125.022,0.306,1
0.177,0.57,208222,0.672,0,8,0.0768,-5.89,0,0.0723,120.019,0.448,1
0.0167,0.77,176840,0.724,0.0107,8,0.353,-5.484,1,0.0495,121.975,0.898,1
0.0237,0.676,207133,0.771,7.00E-06,8,0.102,-3.675,1,0.0483,99.048,0.569,1
0.0911,0.893,214155,0.839,1.83E-05,11,0.113,-6.785,1,0.0671,129.998,0.801,1
0.371,0.855,324189,0.694,0,2,0.109,-4.393,1,0.169,122.078,0.49,1
0.0171,0.631,213960,0.86,5.83E-06,10,0.333,-4.994,0,0.121,181.868,0.382,1
0.0744,0.695,302935,0.727,0.000175,6,0.533,-6.274,0,0.0323,118.034,0.864,1
0.025,0.64,146848,0.505,0,4,0.383,-9.452,0,0.0691,89.993,0.171,1
0.0335,0.6,223665,0.757,0.000165,1,0.296,-7.666,1,0.135,73.061,0.443,1
0.351,0.782,219141,0.319,0,10,0.595,-10.907,0,0.138,114.937,0.507,1
0.215,0.564,219063,0.612,0,5,0.427,-4.094,1,0.21,127.562,0.585,1
0.0916,0.653,160719,0.673,0.00374,6,0.154,-7.934,1,0.268,115.181,0.183,1
0.189,0.769,159715,0.787,0,11,0.129,-3.909,1,0.367,126.77,0.836,1
0.00224,0.73,273547,0.803,0.771,11,0.0635,-7.623,0,0.172,129.991,0.796,1
